n	k	d	verts	edges	colors	status
2	1	2	2	1	1	DEGENERATE
3	1	2	3	3	2	UNSAT
3	2	2	3	3	2	UNSAT
4	1	2	4	6	3	UNSAT
4	2	2	4	5	3	SAT
4	2	4	6	3	3	SAT
4	3	2	4	6	3	UNSAT
5	1	2	5	10	4	UNSAT
5	2	2	5	8	4	SAT
5	2	4	10	15	4	SAT
5	3	2	5	8	4	SAT
5	3	4	10	15	4	SAT
5	4	2	5	10	4	UNSAT
6	1	2	6	15	5	UNSAT
6	2	2	6	12	5	SAT
6	2	4	15	45	5	SAT
6	3	2	6	11	5	SAT
6	3	4	18	73	5	UNSAT
6	3	6	20	10	5	SAT
6	4	2	6	12	5	SAT
6	4	4	15	45	5	SAT
6	5	2	6	15	5	UNSAT
7	1	2	7	21	6	UNSAT
7	2	2	7	17	6	SAT
7	2	4	21	105	6	SAT
7	3	2	7	15	6	SAT
7	3	4	27	181	6	UNSAT
7	3	6	35	70	6	SAT
7	4	2	7	15	6	SAT
7	4	4	27	181	6	UNSAT
7	4	6	35	70	6	SAT
7	5	2	7	17	6	SAT
7	5	4	21	105	6	SAT
7	6	2	7	21	6	UNSAT
8	1	2	8	28	7	UNSAT
8	2	2	8	23	7	SAT
8	2	4	28	210	7	SAT
8	3	2	8	20	7	SAT
8	3	4	37	351	7	SAT
8	3	6	56	280	7	SAT
8	4	2	8	19	7	SAT
8	4	4	40	407	7	SAT
8	4	6	68	529	7	SAT
8	4	8	70	35	7	SAT
8	5	2	8	20	7	SAT
8	5	4	37	351	7	SAT
8	5	6	56	280	7	SAT
8	6	2	8	23	7	SAT
8	6	4	28	210	7	SAT
8	7	2	8	28	7	UNSAT
9	1	2	9	36	8	UNSAT
9	2	2	9	30	8	SAT
9	2	4	36	378	8	SAT
9	3	2	9	26	8	SAT
9	3	4	48	598	8	SAT
9	3	6	84	840	8	SAT
9	4	2	9	24	8	SAT
9	4	4	54	735	8	SAT
9	4	6	116	2134	8	SAT
9	4	8	126	315	8	SAT
9	5	2	9	24	8	SAT
9	5	4	54	735	8	SAT
9	5	6	116	2134	8	SAT
9	5	8	126	315	8	SAT
9	6	2	9	26	8	SAT
9	6	4	48	598	8	SAT
9	6	6	84	840	8	SAT
9	7	2	9	30	8	SAT
9	7	4	36	378	8	SAT
9	8	2	9	36	8	UNSAT
10	1	2	10	45	9	UNSAT
10	2	2	10	38	9	SAT
10	2	4	45	630	9	SAT
10	3	2	10	33	9	SAT
10	3	4	60	940	9	SAT
10	3	6	120	2100	9	SAT
10	4	2	10	30	9	SAT
10	4	4	69	1180	9	SAT
10	4	6	180	6111	9	TIMEOUT
10	4	8	210	1575	9	SAT
10	5	2	10	29	9	SAT
10	5	4	72	1269	9	UNSAT
10	5	6	200	7714	9	TIMEOUT
10	5	8	250	3101	9	SAT
10	5	10	252	126	9	SAT
10	6	2	10	30	9	SAT
10	6	4	69	1180	9	SAT
10	6	6	180	6111	9	TIMEOUT
10	6	8	210	1575	9	SAT
10	7	2	10	33	9	SAT
10	7	4	60	940	9	SAT
10	7	6	120	2100	9	SAT
10	8	2	10	38	9	SAT
10	8	4	45	630	9	SAT
10	9	2	10	45	9	UNSAT
11	1	2	11	55	10	UNSAT
11	2	2	11	47	10	SAT
11	2	4	55	990	10	SAT
11	3	2	11	41	10	SAT
11	3	4	73	1398	10	SAT
11	3	6	165	4620	10	SAT
11	4	2	11	37	10	SAT
11	4	4	85	1760	10	SAT
11	4	6	261	14160	10	TIMEOUT
11	4	8	330	5775	10	SAT
11	5	2	11	35	10	SAT
11	5	4	91	1968	10	TIMEOUT
11	5	6	309	19920	10	UNSAT
11	5	8	450	16443	10	SAT
11	5	10	462	1386	10	SAT
11	6	2	11	35	10	SAT
11	6	4	91	1968	10	TIMEOUT
11	6	6	309	19920	10	UNSAT
11	6	8	450	16443	10	SAT
11	6	10	462	1386	10	SAT
11	7	2	11	37	10	SAT
11	7	4	85	1760	10	SAT
11	7	6	261	14160	10	TIMEOUT
11	7	8	330	5775	10	SAT
11	8	2	11	41	10	SAT
11	8	4	73	1398	10	SAT
11	8	6	165	4620	10	SAT
11	9	2	11	47	10	SAT
11	9	4	55	990	10	SAT
11	10	2	11	55	10	UNSAT
