n	k	d	verts	edges	colors	status
3	1	2	3	3	3	SAT
3	2	2	3	3	3	SAT
4	1	2	4	6	4	SAT
4	3	2	4	6	4	SAT
5	1	2	5	10	5	SAT
5	4	2	5	10	5	SAT
6	1	2	6	15	6	SAT
6	3	4	18	73	6	SAT
6	5	2	6	15	6	SAT
7	1	2	7	21	7	SAT
7	3	4	27	181	7	SAT
7	4	4	27	181	7	SAT
7	6	2	7	21	7	SAT
8	1	2	8	28	8	SAT
8	7	2	8	28	8	SAT
9	1	2	9	36	9	SAT
9	8	2	9	36	9	SAT
10	1	2	10	45	10	SAT
10	4	6	180	6111	10	TIMEOUT
10	5	4	72	1269	10	SAT
10	5	6	200	7714	10	TIMEOUT
10	6	6	180	6111	10	TIMEOUT
10	9	2	10	45	10	SAT
11	1	2	11	55	11	SAT
11	4	6	261	14160	11	TIMEOUT
11	5	4	91	1968	11	SAT
11	5	6	309	19920	11	TIMEOUT
11	6	4	91	1968	11	SAT
11	6	6	309	19920	11	TIMEOUT
11	7	6	261	14160	11	TIMEOUT
11	10	2	11	55	11	SAT
12	1	2	12	66	12	SAT
12	2	2	12	57	12	SAT
12	2	4	66	1485	12	SAT
12	3	2	12	50	12	SAT
12	3	4	87	1996	12	SAT
12	3	6	220	9240	12	SAT
12	4	2	12	45	12	SAT
12	4	4	102	2496	12	SAT
12	4	6	360	28515	12	TIMEOUT
12	4	8	495	17325	12	SAT
12	5	2	12	42	12	SAT
12	5	4	111	2850	12	TIMEOUT
12	5	6	444	42504	12	TIMEOUT
12	5	8	750	62133	12	TIMEOUT
12	5	10	792	8316	12	SAT
12	6	2	12	41	12	SAT
12	6	4	114	2977	12	TIMEOUT
12	6	6	472	47489	12	TIMEOUT
12	6	8	850	87833	12	TIMEOUT
12	6	10	922	16561	12	SAT
12	6	12	924	462	12	SAT
12	7	2	12	42	12	SAT
12	7	4	111	2850	12	TIMEOUT
12	7	6	444	42504	12	TIMEOUT
12	7	8	750	62133	12	TIMEOUT
12	7	10	792	8316	12	SAT
12	8	2	12	45	12	SAT
12	8	4	102	2496	12	SAT
12	8	6	360	28515	12	TIMEOUT
12	8	8	495	17325	12	SAT
12	9	2	12	50	12	SAT
12	9	4	87	1996	12	SAT
12	9	6	220	9240	12	SAT
12	10	2	12	57	12	SAT
12	10	4	66	1485	12	SAT
12	11	2	12	66	12	SAT
13	1	2	13	78	13	SAT
13	2	2	13	68	13	SAT
13	2	4	78	2145	13	SAT
13	3	2	13	60	13	SAT
13	3	4	102	2761	13	SAT
13	3	6	286	17160	13	SAT
13	4	2	13	54	13	SAT
13	4	4	120	3412	13	SAT
13	4	6	478	52014	13	TIMEOUT
13	4	8	715	45045	13	SAT
13	5	2	13	50	13	SAT
13	5	4	132	3936	13	TIMEOUT
13	5	6	606	80130	13	TIMEOUT
13	5	8	1175	187261	13	TIMEOUT
13	5	10	1287	36036	13	SAT
13	6	2	13	48	13	SAT
13	6	4	138	4225	13	TIMEOUT
13	6	6	670	95324	13	TIMEOUT
13	6	8	1450	317433	13	TIMEOUT
13	6	10	1702	106366	13	SAT
13	6	12	1716	6006	13	SAT
13	7	2	13	48	13	SAT
13	7	4	138	4225	13	TIMEOUT
13	7	6	670	95324	13	TIMEOUT
13	7	8	1450	317433	13	TIMEOUT
13	7	10	1702	106366	13	SAT
13	7	12	1716	6006	13	SAT
13	8	2	13	50	13	SAT
13	8	4	132	3936	13	TIMEOUT
13	8	6	606	80130	13	TIMEOUT
13	8	8	1175	187261	13	TIMEOUT
13	8	10	1287	36036	13	SAT
13	9	2	13	54	13	SAT
13	9	4	120	3412	13	SAT
13	9	6	478	52014	13	TIMEOUT
13	9	8	715	45045	13	SAT
13	10	2	13	60	13	SAT
13	10	4	102	2761	13	SAT
13	10	6	286	17160	13	SAT
13	11	2	13	68	13	SAT
13	11	4	78	2145	13	SAT
13	12	2	13	78	13	SAT
